State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
California,Los Angeles,2005,365,36,191,77,48,13,0,238,166,84,2,42,162,159,0
California,Los Angeles,2006,365,32,204,79,39,11,0,224,163,83,1,41,161,160,2
California,Los Angeles,2007,365,24,214,91,30,6,0,213,150,82,0,50,151,160,4
California,Los Angeles,2008,366,12,233,67,46,8,0,227,172,84,0,49,149,166,2
California,Los Angeles,2009,365,19,228,71,43,4,0,218,156,80,0,23,146,191,5
California,Los Angeles,2010,365,14,237,99,15,0,0,200,138,78,0,25,148,191,1
California,Los Angeles,2011,365,2,242,82,36,3,0,218,151,80,0,14,147,203,1
California,Los Angeles,2012,366,14,222,93,35,2,0,207,151,84,0,12,161,191,2
California,Los Angeles,2013,365,8,257,75,25,0,0,197,140,79,0,14,159,191,1
California,Los Angeles,2014,365,8,250,79,26,2,0,205,143,82,0,11,160,192,2
California,Los Angeles,2015,365,3,230,95,36,1,0,203,151,80,0,16,167,180,2
California,Los Angeles,2016,366,7,255,81,19,4,0,226,134,77,0,23,152,190,1
California,Los Angeles,2017,365,9,237,73,38,8,0,224,156,79,0,20,156,189,0
California,Los Angeles,2018,365,7,250,89,18,1,0,201,130,78,0,22,153,189,1
California,Los Angeles,2019,365,34,245,57,28,1,0,201,136,72,0,24,166,170,5
California,Los Angeles,2020,366,35,194,77,43,17,0,250,166,85,0,9,180,175,2
California,Los Angeles,2021,365,9,259,70,26,1,0,281,143,79,0,13,148,199,5
California,Los Angeles,2022,365,17,254,65,28,1,0,209,140,74,0,19,170,167,9
California,Los Angeles,2023,365,41,237,52,32,3,0,210,147,67,0,5,150,203,7
California,Los Angeles,2024,245,36,124,45,34,6,0,230,164,75,1,1,150,90,3
